ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
7438,-0.05768368058633714,2,2,1,-0.48660736398066357,-2,-2,-2,-2,-2,-2,-0.6923845325024008,-0.6909719129379459,-0.6779173766958358,-0.672486060258382,-0.6392634733362847,-0.6455601803163353,-0.3419359196334225,-0.2569852352223343,-0.2967963273482666,-0.21575656841838983,-0.2862482087462814,-0.2933771681829583,0
22667,0.40475239938049284,2,3,1,0.8152070085013252,0,0,0,0,0,0,2.5979552300305855,2.524510474952405,2.4782460462368276,2.336800510152971,2.0862423155552947,1.9972634049903124,0.14709764297431693,0.09456398399799426,0.10077369130630819,0.06855050317883057,0.052401907873823934,-0.012122232121771034,1
12009,-1.1367012005089405,2,1,2,-1.2459990812618236,0,0,0,0,0,0,-0.4627681490195572,-0.4343605192683806,-0.4018514919013575,-0.40323017701355535,-0.3836100664773756,-0.43947867716514827,-0.2392992459996994,-0.19188352795931046,-0.2501102480148294,-0.2442255746896876,-0.24867859781857737,-0.26525167457683957,0
9674,1.1754791993252096,1,1,1,0.38126888434066225,-1,-1,0,-1,-1,-1,-0.5819084691221706,-0.4432120949370088,-0.12996733113876202,-0.6547657215619784,-0.6466486872383403,-0.6252928964979142,0.7227082585177969,0.654438666459999,-0.23204921002452158,-0.2444170702475663,-0.20724730214394912,-0.2933771681829583,0
14096,-0.8284104805310538,2,1,2,-1.137514550221658,0,0,0,0,0,0,-0.47826331660613897,-0.45436789030350216,-0.4183476722202336,-0.39194511921216146,-0.4560805619171462,-0.4385551472479874,-0.2574116001703564,-0.19188352795931046,-0.26839846887293983,-0.26337513047755606,-0.28140473974166447,-0.23712618097072086,0
11445,-1.1367012005089405,2,2,2,-0.9205454881413265,0,0,-1,2,2,2,-0.46063603568818706,-0.6909719129379459,-0.29762562534118564,-0.2583275477785782,-0.2340964932709493,-0.18354334994031377,-0.3419359196334225,0.8876329818761503,-0.24000061039761308,-0.3080574273159158,-0.1635906288185509,-0.22587598352827334,0
28550,1.4837699193030962,2,1,2,-0.16115377086016638,0,0,0,0,0,0,0.6103774539838298,0.6660729879035255,0.74858404848376,0.8624994189256978,0.9167139206961379,0.9165486959286687,-0.10043786402466227,-0.0737022287078346,-0.06938627667784983,-0.052730016811003005,-0.08504788820314188,-0.10212381166135096,0
25070,-0.28890172056975216,1,2,1,1.3576296637021539,2,0,0,0,0,0,0.9531452277658841,1.0386821731924474,1.1334035975832768,1.2775439483403217,0.720290258294472,0.765089789514287,0.020311163779717825,0.02911506762956766,-0.06961345954565244,-0.11656186943723121,-0.11371598852776618,-0.06837321933400849,1
21881,-1.0596285205144689,2,2,2,-1.462968143342155,2,-1,-1,-1,-1,-1,-0.6932672545822675,-0.6629419233206231,-0.6270157014111919,-0.672486060258382,-0.5650165790069329,-0.6527133393110722,-0.22148876439855333,-0.1037792174633516,-0.2967963273482666,0.07238041433640427,-0.31413088166475156,-0.19336291291960012,0
18805,-0.05768368058633714,2,1,2,-1.0290300191814923,0,0,0,0,0,0,0.9096202390586144,1.018857453718742,1.1349897687677841,1.3351505932603847,1.484536536123228,1.7697224248549146,0.020311163779717825,-0.038677510200327794,0.04397797435565465,-0.052730016811003005,0.6676533760278615,-0.012122232121771034,0
20841,2.562787439225699,1,1,1,0.5982379464209937,0,0,2,2,-1,2,0.15027554527796622,0.2009999621777108,-0.64886160454327,-0.6743669032252809,-0.6518791950798853,-0.6438306606532886,-0.18447918737651084,-0.2569852352223343,-0.2967963273482666,-0.25699194521493324,-0.31413088166475156,-0.20900068736460212,0
9602,-0.2118290405752805,2,3,2,-1.2459990812618236,0,0,0,0,0,0,-0.41148878634915165,-0.4140018952305356,-0.3983907547715233,-0.37335430773768896,-0.3803862314555429,-0.041890652100876447,-0.24334433843114614,-0.18754341414177556,-0.2513597537877438,-0.19616018966213777,0.9949147952587324,-0.24061374217787956,0
6162,0.48182507937496455,1,1,2,-0.8120609571011608,-2,-1,-1,-1,-1,-1,-0.3716712303773219,-0.4338828151846768,-0.6528126127664973,-0.41454632312845163,-0.36268803511119585,-0.34487563074179717,0.7634610554017752,-0.1814238536590513,1.5881399268100234,0.9685796252086482,0.9294625114125582,0.793335653770257,0
15530,0.7130431193583795,1,1,2,-0.2696383019003321,0,0,0,0,0,0,0.5777574780478356,0.4463010091595844,0.2981691110358453,0.15654599591178223,0.5879320928827985,0.4381937817454195,-0.15996713473222168,-0.12604400134730573,-0.18229616197574908,2.4367122356118966,-0.1832263139724032,-0.1808751937584834,0
6767,0.40475239938049284,2,1,1,0.05581529122016507,0,0,0,0,0,0,2.1626917626181994,2.3510617422076185,2.151509201966361,2.4381639563277497,2.6975044630877942,2.846172104844579,0.24001401986978743,0.052161072000678085,0.10997459745231407,0.1655110873180712,0.1742740603954003,0.19156259257374078,0
473,0.09646167940260619,1,2,1,-0.16115377086016638,-1,-1,-1,-1,-1,-1,-0.6558805794149934,-0.6517720778340208,-0.6614788753291236,-0.6391593881837423,-0.6436386780087721,-0.6295075512107756,-0.17349102584631224,-0.2075079377024362,-0.17502631020606543,-0.23273584121696653,-0.22367582538933883,-0.15612475938509893,0
12265,1.4837699193030962,2,2,1,-0.8120609571011608,1,-2,-2,-2,-2,-2,-0.695630233688372,-0.6909719129379459,-0.6779173766958358,-0.672486060258382,-0.6630474806912344,-0.6527133393110722,-0.3419359196334225,-0.2569852352223343,-0.2967963273482666,-0.3080574273159158,-0.31413088166475156,-0.2933771681829583,0
14604,-0.1347563605808088,1,2,2,-0.48660736398066357,0,0,0,0,0,0,1.325328017317032,1.3897103739940473,1.2488336006012866,1.302290245888282,1.1802459855930973,0.017282428409576035,-0.03118829657885029,-0.044319658163123186,-0.031162759170059996,-0.0076008970042596696,-0.20286199912625544,-0.23712618097072086,0
